x,y
51.1615558,6.774529
46.6322044,-0.5664231
49.788203,19.70598
13.7464901,100.5129096
41.923103,124.960413
-6.9415153,-78.1350635
-8.4114856,116.1713917
50.7868675,12.8945945
43.4462218,5.2254137
-6.7974263,111.1682495
-5.5844754,105.4771084
3.1523104,101.7178316
49.7523363,6.3655038
59.9458801,10.7822137
35.70915,10.67397
49.3649919,18.309005
55.6790868,12.571637
23.0818155,-82.3072013
34.2105603,-3.9980485
46.6121379,0.3379133
7.29417,125.62583
41.5023719,-8.5818392
45.0510883,16.0518078
55.55361,21.32667
-7.2966,108.1264
-6.1130137,106.1610343
63.1724708,14.5922703
41.5660291,-8.6268918
30.045109,120.249049
38.6968603,-8.7359804
38.9,-77.04
44.4693308,19.8223207
-7.348959,108.3712309
-8.496803,115.148803
36.865827,116.231416
8.2511483,124.8514628
10.431916,-64.183316
44.8245862,19.771335
38.5301118,68.2146857
52.6435136,4.7270746
46.9,113.41667
23.365556,116.70345
45.9120061,6.1549499
55.5292,42.2003001
40.4583824,-8.8018715
57.3665832,61.4221758
48.4907371,22.8097434
-6.1718076,106.8488128
10.1081553,106.4405872
47.853778,128.84075
51.6991519,5.2583334
36.4626965,10.7492466
-6.9244162,112.4142453
-7.55,111.283333
42.362461,20.8319248
-6.1718076,106.8488128
39.9459413,116.3817634
56.7402899,24.7181651
41.2699615,26.38509
53.2238,78.9337
-16.2382608,-44.4370606
48.8179158,1.967221
40.888872,19.5181312
10.770555,122.535945
31.93957,121.012416
54.939834,20.1270433
-24.8705652,25.8640062
55.5192748,26.3223328
26.6274775,49.9161886
4.4354347,14.3617343
50.867559,22.0128609
-15.1838408,-72.9061903
-1.8703308,116.3013267
43.0370523,-80.8810794
-25.1042007,-65.5381671
28.929108,110.069347
23.7247599,108.8076195
-3.366667,33.95
42.3745311,-88.1263369
41.8012304,43.4814896
45.900828,-64.5169467
16.3456563,-86.5135502
39.8314629,116.3220944
20.448773,121.9685567
-8.4765241,115.5325797
-21.5560521,-45.4368421
14.8886565,-88.2777465
-25.0324274,25.7486438
38.8055168,-104.4956239
54.2144309,28.5084359
16.7136708,103.3125299
18.1590139,121.6539966
40.8428562,43.7557983
41.8401694,-8.8183159
63.4400274,10.4024274
13.9311113,121.4233322
57.7325747,12.0715528
39.680811,122.967328
39.0369331,-9.1809626
31.23285,121.467218
